epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1323,1.92075,5.36313,1.3981,0,0,0,0,1.56503,5.12692,1.09653,4.686e-05,4.686e-05,4.686e-05
2,116.616,1.72002,5.15713,1.20536,0,0,0,0,1.32627,5.03451,1.00078,9.58498e-05,9.58498e-05,9.58498e-05
3,169.279,1.55751,4.98442,1.06927,0,0,0,0,1.25376,4.95409,0.95054,0.000144839,0.000144839,0.000144839
4,222.705,1.49277,4.82226,1.01792,0.02197,0.13724,0.02199,0.01502,1.30597,4.84932,0.96235,0.000193826,0.000193826,0.000193826
5,276.12,1.40073,4.63985,0.99588,0.01876,0.44899,0.05062,0.03966,1.36158,4.60113,0.98836,0.000212992,0.000212992,0.000212992
6,330.364,1.38338,4.46928,0.9874,0.02373,0.63947,0.06477,0.04648,1.30274,4.17146,0.99562,0.000212987,0.000212987,0.000212987
7,383.927,1.35984,4.27141,0.98877,0.02362,0.71059,0.07848,0.05167,1.3687,3.91261,1.03403,0.000212981,0.000212981,0.000212981
8,436.605,1.3783,4.08796,1.01429,0.02643,0.78929,0.09093,0.06503,1.33805,3.71384,1.02403,0.000212975,0.000212975,0.000212975
9,488.493,1.32388,3.88618,0.99961,0.10691,0.5884,0.08812,0.06119,1.35895,3.51552,1.04659,0.000212967,0.000212967,0.000212967
10,540.996,1.3727,3.72884,1.02251,0.65591,0.11212,0.10544,0.07738,1.25476,3.33019,1.01221,0.000212958,0.000212958,0.000212958
11,596.554,1.36889,3.57618,1.02602,0.44406,0.28329,0.11563,0.08456,1.26483,3.23808,1.0177,0.000212948,0.000212948,0.000212948
12,649.79,1.32211,3.49664,1.02879,0.43409,0.29155,0.13651,0.10268,1.23627,3.1773,1.01408,0.000212937,0.000212937,0.000212937
13,703.165,1.35144,3.36602,1.03617,0.39163,0.24699,0.14732,0.11021,1.21923,3.03539,1.00694,0.000212925,0.000212925,0.000212925
14,757.123,1.32427,3.21486,1.02769,0.33483,0.28915,0.15848,0.11798,1.24432,2.93901,1.00909,0.000212912,0.000212912,0.000212912
15,808.961,1.3507,3.18719,1.06017,0.38954,0.33575,0.17992,0.13289,1.23814,2.80874,1.01188,0.000212898,0.000212898,0.000212898
16,861.288,1.3492,3.03506,1.03539,0.45987,0.3205,0.19696,0.14691,1.25017,2.71426,1.02015,0.000212883,0.000212883,0.000212883
17,914.013,1.32001,2.94335,1.02988,0.44903,0.32169,0.24628,0.18554,1.23638,2.64108,1.01181,0.000212867,0.000212867,0.000212867
18,965.811,1.28299,2.78401,1.01917,0.56543,0.28646,0.27411,0.20999,1.19137,2.54987,1.00453,0.00021285,0.00021285,0.00021285
19,1018.44,1.28646,2.73829,1.00497,0.58259,0.25021,0.28848,0.21549,1.27594,2.51458,1.04001,0.000212831,0.000212831,0.000212831
20,1072.46,1.33216,2.73474,1.02669,0.53984,0.25567,0.31636,0.2423,1.2103,2.37781,1.01439,0.000212812,0.000212812,0.000212812
21,1128.22,1.28934,2.63883,1.01068,0.45245,0.30569,0.32655,0.24903,1.22724,2.35812,1.02524,0.000212792,0.000212792,0.000212792
22,1188.93,1.31307,2.58758,1.04869,0.53202,0.33594,0.36714,0.27396,1.22204,2.24803,1.01681,0.000212771,0.000212771,0.000212771
23,1249.54,1.25721,2.4787,1.01493,0.44246,0.41878,0.36591,0.27754,1.17614,2.20149,1.00441,0.000212748,0.000212748,0.000212748
24,1309.74,1.29745,2.48689,1.02298,0.50932,0.39898,0.42173,0.31351,1.20301,2.11417,1.01004,0.000212725,0.000212725,0.000212725
25,1371.13,1.2967,2.37898,1.02768,0.52502,0.4128,0.44406,0.32928,1.17322,2.07344,1.00066,0.0002127,0.0002127,0.0002127
26,1430.92,1.31952,2.34775,1.03315,0.49393,0.44946,0.45668,0.33851,1.18342,2.03902,1.00758,0.000212675,0.000212675,0.000212675
27,1491.39,1.27128,2.28159,1.0144,0.55087,0.44197,0.49484,0.37155,1.15494,1.9377,0.99739,0.000212648,0.000212648,0.000212648
28,1551.99,1.26267,2.20161,1.01358,0.4555,0.50214,0.49922,0.36236,1.21185,1.88051,1.01651,0.000212621,0.000212621,0.000212621
29,1611.97,1.2395,2.1499,1.00177,0.58491,0.45911,0.529,0.38893,1.16555,1.81851,0.99788,0.000212592,0.000212592,0.000212592
30,1672.85,1.24471,2.09973,1.00673,0.515,0.51855,0.54328,0.40513,1.16928,1.78059,0.99794,0.000212563,0.000212563,0.000212563
31,1732.77,1.23285,2.01296,0.99187,0.65129,0.50461,0.58943,0.43603,1.14811,1.62918,0.99276,0.000212532,0.000212532,0.000212532
32,1792.92,1.22365,1.97076,0.99254,0.65705,0.55471,0.61707,0.45153,1.19104,1.56236,1.00558,0.0002125,0.0002125,0.0002125
33,1853.37,1.22892,1.9635,1.00577,0.71351,0.55551,0.64551,0.48068,1.15486,1.53712,0.99244,0.000212468,0.000212468,0.000212468
34,1914.13,1.2526,1.95053,1.02245,0.61556,0.6294,0.6745,0.49238,1.22768,1.46381,1.01364,0.000212434,0.000212434,0.000212434
35,1974.44,1.23467,1.84424,1.00121,0.64047,0.6392,0.69494,0.51957,1.15267,1.44541,0.99103,0.000212399,0.000212399,0.000212399
36,2034.93,1.16699,1.78135,0.9737,0.63278,0.62523,0.69852,0.52265,1.16342,1.45644,0.9929,0.000212363,0.000212363,0.000212363
37,2096.04,1.26883,1.84188,1.02402,0.60259,0.64113,0.70305,0.5253,1.13128,1.44681,0.98701,0.000212326,0.000212326,0.000212326
38,2157.06,1.21546,1.74934,1.00362,0.64112,0.64004,0.70948,0.5271,1.16026,1.3948,0.99812,0.000212289,0.000212289,0.000212289
39,2218.14,1.21813,1.7256,0.99995,0.65693,0.63098,0.69723,0.52356,1.1378,1.44946,0.98934,0.00021225,0.00021225,0.00021225
40,2278.16,1.17436,1.61748,0.98683,0.58647,0.72084,0.73971,0.55237,1.20217,1.38691,1.00865,0.00021221,0.00021221,0.00021221
41,2339.43,1.22518,1.70388,0.99822,0.68885,0.69023,0.76682,0.58594,1.12947,1.32208,0.98828,0.000212169,0.000212169,0.000212169
42,2400.3,1.18953,1.62139,0.99434,0.66969,0.69945,0.77719,0.58195,1.16232,1.27102,0.99729,0.000212127,0.000212127,0.000212127
43,2460.61,1.22834,1.669,0.99632,0.73819,0.72678,0.82865,0.64256,1.11236,1.22452,0.98339,0.000212084,0.000212084,0.000212084
44,2520.85,1.20408,1.58994,1.00741,0.813,0.68378,0.83383,0.59072,1.36832,1.22384,1.0553,0.000212039,0.000212039,0.000212039
45,2581.06,1.18419,1.57067,0.99622,0.71593,0.75361,0.83041,0.64158,1.11588,1.19116,0.98292,0.000211994,0.000211994,0.000211994
46,2640.91,1.19704,1.56453,0.99561,0.5943,0.79717,0.84111,0.64178,1.13092,1.21916,0.98518,0.000211948,0.000211948,0.000211948
47,2701.24,1.15979,1.48861,0.99031,0.72255,0.77122,0.84564,0.6476,1.12238,1.20063,0.98459,0.000211901,0.000211901,0.000211901
48,2761.78,1.1991,1.45541,0.99152,0.73657,0.78372,0.84988,0.65196,1.12485,1.1575,0.98817,0.000211853,0.000211853,0.000211853
49,2823.12,1.19906,1.44614,0.98854,0.72749,0.78722,0.84605,0.64206,1.1688,1.15816,0.99789,0.000211803,0.000211803,0.000211803
50,2883.52,1.2112,1.48315,0.99399,0.80533,0.72931,0.85923,0.65607,1.13588,1.11087,0.98536,0.000211753,0.000211753,0.000211753
51,2944.34,1.2023,1.44915,0.99755,0.74191,0.7728,0.8714,0.65929,1.16186,1.09904,0.99273,0.000211702,0.000211702,0.000211702
52,3005.05,1.17143,1.41761,0.97351,0.71147,0.82081,0.86927,0.6704,1.12319,1.05349,0.98036,0.00021165,0.00021165,0.00021165
53,3065.38,1.1601,1.35903,0.98698,0.90474,0.72544,0.87768,0.68727,1.09942,1.04756,0.97615,0.000211596,0.000211596,0.000211596
54,3119.64,1.14373,1.31138,0.97033,0.91047,0.72127,0.86879,0.67298,1.09704,1.04666,0.97613,0.000211542,0.000211542,0.000211542
55,3172,1.12769,1.28881,0.98443,0.85236,0.782,0.87183,0.65319,1.17277,1.02495,0.99723,0.000211486,0.000211486,0.000211486
56,3225.26,1.14555,1.3062,0.97407,0.82645,0.82111,0.89328,0.6804,1.14033,1.00894,0.98482,0.00021143,0.00021143,0.00021143
57,3278.99,1.18027,1.33381,0.98704,0.84453,0.83311,0.92304,0.70607,1.14417,0.99314,0.98777,0.000211373,0.000211373,0.000211373
58,3332.09,1.15863,1.31578,0.97657,0.84182,0.83065,0.91376,0.70954,1.09968,1.00613,0.98025,0.000211314,0.000211314,0.000211314
59,3386.73,1.16908,1.31072,0.99654,0.82653,0.83071,0.89122,0.6794,1.1344,0.97344,0.98517,0.000211255,0.000211255,0.000211255
60,3445.89,1.15618,1.2559,0.96995,0.85792,0.80115,0.89003,0.68942,1.0996,0.97632,0.98219,0.000211194,0.000211194,0.000211194
61,3506.25,1.1529,1.24204,0.99782,0.84724,0.85829,0.92415,0.69786,1.14612,0.9575,0.9895,0.000211132,0.000211132,0.000211132
62,3567.01,1.16652,1.28072,0.9783,0.80754,0.87182,0.91796,0.70926,1.10855,0.9429,0.98148,0.00021107,0.00021107,0.00021107
